expiry,T,kind,strike,mid,iv,yahoo_iv,moneyness,delta
2026-07-30,0.019178082191780823,call,730.0,12.415,0.1768575027891446,0.1779257012939453,0.9888891847025251,0.6922029270783252
2026-07-30,0.019178082191780823,call,732.0,11.024999999999999,0.17515026876086182,0.17527069854736327,0.9915984701400663,0.6531959577358764
2026-07-30,0.019178082191780823,call,735.0,8.93,0.16860608159436885,0.16748879394531252,0.995662398296378,0.5921838109785056
2026-07-30,0.019178082191780823,call,738.0,7.140000000000001,0.16503820485052204,0.16190413299560547,0.9997263264526898,0.5237171475708139
2026-07-30,0.019178082191780823,call,739.0,6.545,0.16276714890180233,0.1593406820678711,1.0010809691714604,0.4999701961971796
2026-07-30,0.019178082191780823,call,740.0,6.005,0.16125954326582653,0.15763171478271482,1.002435611890231,0.4757441481791928
2026-07-30,0.019178082191780823,call,741.0,5.465,0.15914699472800878,0.15537343658447267,1.0037902546090016,0.45096895197744996
2026-07-30,0.019178082191780823,call,742.0,4.915,0.1561496078127765,0.15229119201660157,1.0051448973277721,0.42529583532536297
2026-07-30,0.019178082191780823,call,743.0,4.465,0.1549957084506328,0.150948432006836,1.0064995400465426,0.40026100649663543
2026-07-30,0.019178082191780823,call,744.0,3.955,0.15163422328674234,0.1475610147094727,1.0078541827653134,0.37342578275747357
2026-07-30,0.019178082191780823,call,745.0,3.545,0.1501340762005735,0.14594359924316402,1.0092088254840839,0.3479611279111132
2026-07-30,0.019178082191780823,call,746.0,3.12,0.1474994554264213,0.14313601013183597,1.0105634682028544,0.3213780330458684
2026-07-30,0.019178082191780823,call,747.0,2.7800000000000002,0.14643587929687865,0.14191531921386719,1.011918110921625,0.2968704642737303
2026-07-30,0.019178082191780823,call,748.0,2.41,0.14374181512096618,0.13916876464843753,1.0132727536403956,0.27059904367938387
2026-07-30,0.019178082191780823,call,749.0,2.08,0.14135702766648375,0.13678841735839847,1.014627396359166,0.24513135130756925
2026-07-30,0.019178082191780823,call,750.0,1.83,0.14065101495495158,0.13593393371582033,1.0159820390779368,0.22304466870346418
2026-07-30,0.019178082191780823,call,751.0,1.5350000000000001,0.1375890635020759,0.13276013732910158,1.0173366817967073,0.19786659229977305
2026-07-30,0.019178082191780823,call,752.0,1.32,0.13639109114993248,0.1316615155029297,1.0186913245154778,0.17687437171831016
2026-07-30,0.019178082191780823,call,753.0,1.09,0.13366517349371823,0.12897599548339844,1.0200459672342486,0.15423750154698596
2026-07-30,0.019178082191780823,call,754.0,0.91,0.13194678860347808,0.1272670281982422,1.021400609953019,0.13467517488402447
2026-07-30,0.019178082191780823,call,755.0,0.76,0.13062147833850254,0.12592426818847657,1.0227552526717896,0.11717636139432058
2026-07-30,0.019178082191780823,call,756.0,0.625,0.12906872705018207,0.12415426635742188,1.0241098953905603,0.1006605033934293
2026-07-30,0.019178082191780823,call,757.0,0.515,0.12791573533419656,0.12293357543945313,1.0254645381093308,0.0862685720188337
2026-07-30,0.019178082191780823,call,758.0,0.41000000000000003,0.12601732998685555,0.12146874633789062,1.0268191808281015,0.07206853760177004
2026-07-30,0.019178082191780823,call,759.0,0.335,0.1251954440771368,0.12024805541992187,1.028173823546872,0.06101589892635451
2026-07-30,0.019178082191780823,call,760.0,0.255,0.12281503346229318,0.11792874267578124,1.0295284662656425,0.04906187436596315
2026-07-30,0.019178082191780823,call,761.0,0.20500000000000002,0.12211368040380036,0.11731839721679688,1.0308831089844133,0.04080922293142161
2026-07-30,0.019178082191780823,call,762.0,0.165,0.12161845942126796,0.11695218994140624,1.0322377517031838,0.033887396914268945
2026-07-30,0.019178082191780823,call,763.0,0.135,0.12160435503222336,0.11695218994140624,1.0335923944219543,0.028416568932605336
2026-07-30,0.019178082191780823,call,764.0,0.10500000000000001,0.12071457794543604,0.116219775390625,1.034947037140725,0.022907034165768114
2026-07-30,0.019178082191780823,put,655.0,0.10500000000000001,0.3668223968585909,0.34278000976562495,0.8872909807947315,-0.008295593184092898
2026-07-30,0.019178082191780823,put,660.0,0.125,0.35405310381523514,0.331061376953125,0.8940641943885843,-0.010032032821784331
2026-07-30,0.019178082191780823,put,665.0,0.14500000000000002,0.33981353833796346,0.317389638671875,0.9008374079824373,-0.011904724623028606
2026-07-30,0.019178082191780823,put,675.0,0.195,0.31030536843287687,0.2890696093749999,0.9143838351701431,-0.01685554197711625
2026-07-30,0.019178082191780823,put,680.0,0.245,0.2986618412470602,0.2778392529296875,0.921157048763996,-0.021371220210715802
2026-07-30,0.019178082191780823,put,685.0,0.305,0.28620774693289913,0.2661206201171875,0.9279302623578489,-0.02694065072829588
2026-07-30,0.019178082191780823,put,690.0,0.395,0.2752617368195921,0.2556226782226563,0.9347034759517018,-0.03498414736139521
2026-07-30,0.019178082191780823,put,695.0,0.505,0.2632584672511288,0.24402611450195313,0.9414766895455547,-0.04503841029795297
2026-07-30,0.019178082191780823,put,700.0,0.675,0.2531825502712911,0.23438265625,0.9482499031394076,-0.05978592302056218
2026-07-30,0.019178082191780823,put,701.0,0.705,0.25031351537744007,0.23169713623046873,0.9496045458581782,-0.06265851246974208
2026-07-30,0.019178082191780823,put,702.0,0.745,0.24807523408410118,0.229499892578125,0.9509591885769488,-0.06618034796098837
2026-07-30,0.019178082191780823,put,703.0,0.79,0.24601743851212474,0.22779092529296874,0.9523138312957194,-0.07005559793867167
2026-07-30,0.019178082191780823,put,705.0,0.905,0.24296952738299232,0.22449505981445309,0.9550231167332606,-0.07941332197318429
2026-07-30,0.019178082191780823,put,706.0,0.965,0.2412255516603595,0.22290816162109373,0.9563777594520312,-0.08432681997630254
2026-07-30,0.019178082191780823,put,707.0,1.02,0.2389357324354939,0.22095505615234373,0.9577324021708017,-0.08904813930628419
2026-07-30,0.019178082191780823,put,708.0,1.065,0.23585718192726923,0.21778125976562498,0.9590870448895723,-0.09333167891646532
2026-07-30,0.019178082191780823,put,709.0,1.145,0.23459639281049965,0.21643849975585935,0.9604416876083429,-0.09957247718556839
2026-07-30,0.019178082191780823,put,710.0,1.2149999999999999,0.23250137921017291,0.21448539428710936,0.9617963303271134,-0.10537689628095248
2026-07-30,0.019178082191780823,put,712.0,1.39,0.22934870716048686,0.21161677062988277,0.9645056157646547,-0.11906093793394268
2026-07-30,0.019178082191780823,put,713.0,1.4649999999999999,0.2267592974139204,0.20887021606445308,0.9658602584834253,-0.12546140034324793
2026-07-30,0.019178082191780823,put,714.0,1.53,0.22349496762209595,0.20600159240722654,0.9672149012021958,-0.1315398772049411
2026-07-30,0.019178082191780823,put,715.0,1.65,0.22247933690900787,0.2049640051269531,0.9685695439209664,-0.14036444051342478
2026-07-30,0.019178082191780823,put,716.0,1.755,0.2204822458131268,0.20282779602050777,0.969924186639737,-0.14861252638708033
2026-07-30,0.019178082191780823,put,717.0,1.86,0.21820570097921205,0.20081365600585935,0.9712788293585075,-0.15702155135076978
2026-07-30,0.019178082191780823,put,718.0,2.005,0.217229312603768,0.19959296508789062,0.9726334720772781,-0.16731377681390047
2026-07-30,0.019178082191780823,put,719.0,2.1100000000000003,0.21437768932876863,0.19702951416015624,0.9739881147960487,-0.17608433640072962
2026-07-30,0.019178082191780823,put,720.0,2.2699999999999996,0.21328768954138586,0.1959308923339844,0.9753427575148192,-0.1872865307903433
2026-07-30,0.019178082191780823,put,721.0,2.4299999999999997,0.2118266328693197,0.19446606323242188,0.9766974002335899,-0.19862351835129854
2026-07-30,0.019178082191780823,put,722.0,2.5999999999999996,0.21035327567982587,0.19294019958496095,0.9780520429523605,-0.21049809836612443
2026-07-30,0.019178082191780823,put,723.0,2.7649999999999997,0.2083584082742237,0.1911091632080078,0.9794066856711311,-0.2223879725067326
2026-07-30,0.019178082191780823,put,724.0,2.9400000000000004,0.20634891951387788,0.1889729541015625,0.9807613283899016,-0.23485613593664123
2026-07-30,0.019178082191780823,put,725.0,3.1399999999999997,0.20477085508681397,0.18738605590820312,0.9821159711086722,-0.24837066008159903
2026-07-30,0.019178082191780823,put,726.0,3.3,0.20161545488245025,0.18433432861328125,0.9834706138274428,-0.26093835989014846
2026-07-30,0.019178082191780823,put,727.0,3.55,0.2007944300736125,0.18341881042480468,0.9848252565462133,-0.2764368656938956
2026-07-30,0.019178082191780823,put,728.0,3.785,0.19911351731162524,0.1818319122314453,0.986179899264984,-0.29171351373597576
2026-07-30,0.019178082191780823,put,729.0,3.975,0.19578231159283926,0.1785665640258789,0.9875345419837546,-0.30620974766782005
2026-07-30,0.019178082191780823,put,730.0,4.300000000000001,0.1957936486479242,0.1785360467529297,0.9888891847025251,-0.3241809848465145
2026-07-30,0.019178082191780823,put,731.0,4.550000000000001,0.1933165497829645,0.17603363037109376,0.9902438274212957,-0.34075501315225254
2026-07-30,0.019178082191780823,put,732.0,4.775,0.18978554593802735,0.17243259216308598,0.9915984701400663,-0.3573573207694075
2026-07-30,0.019178082191780823,put,733.0,5.074999999999999,0.18780815961288416,0.1703879348754883,0.9929531128588369,-0.3757678647081373
2026-07-30,0.019178082191780823,put,734.0,5.495,0.188432071979989,0.17075414215087892,0.9943077555776074,-0.3961179783504081
2026-07-30,0.019178082191780823,put,735.0,5.745,0.18426756722702953,0.16663431030273443,0.995662398296378,-0.414717856651726
2026-07-30,0.019178082191780823,put,736.0,6.135,0.1831543481391998,0.16535258483886722,0.9970170410151487,-0.43526865471166254
2026-07-30,0.019178082191780823,put,737.0,6.465,0.18005839301504323,0.16217878845214845,0.9983716837339192,-0.4558501434091352
2026-07-30,0.019178082191780823,put,738.0,6.91,0.17929264447014645,0.1612937875366211,0.9997263264526898,-0.47741144551050874
2026-07-30,0.019178082191780823,put,739.0,7.275,0.1760370521329341,0.15781481842041017,1.0010809691714604,-0.4993220605739822
2026-07-30,0.019178082191780823,put,740.0,7.765000000000001,0.17530837797103296,0.15680774841308598,1.002435611890231,-0.5215702213080626
2026-07-30,0.019178082191780823,put,741.0,8.24,0.1736596738283925,0.15592274749755858,1.0037902546090016,-0.5441882318508466
2026-07-30,0.019178082191780823,put,742.0,8.68,0.17056816134685202,0.1530846411132813,1.0051448973277721,-0.5677026799145413
2026-07-30,0.019178082191780823,put,743.0,9.2,0.16886655238514825,0.15128412200927738,1.0064995400465426,-0.590983218043595
2026-07-30,0.019178082191780823,put,744.0,9.71,0.16629408301361256,0.14789670471191407,1.0078541827653134,-0.6150083124166934
2026-07-30,0.019178082191780823,put,745.0,10.344999999999999,0.16631340579130494,0.1482629119873047,1.0092088254840839,-0.6370851779960547
2026-07-30,0.019178082191780823,put,746.0,10.915,0.16402058122748264,0.145516357421875,1.0105634682028544,-0.6609123982705623
2026-07-30,0.019178082191780823,put,747.0,11.649999999999999,0.1655490687481566,0.14655394470214844,1.011918110921625,-0.6805878603088672
2026-07-30,0.019178082191780823,put,748.0,12.25,0.16276981344970626,0.1428918719482422,1.0132727536403956,-0.7043987421629261
2026-07-30,0.019178082191780823,put,749.0,12.875,0.15993281073384252,0.13984014465332031,1.014627396359166,-0.7281869909662393
2026-07-30,0.019178082191780823,put,750.0,13.695,0.1622354216930936,0.14130497375488282,1.0159820390779368,-0.7446627494382251
2026-07-30,0.019178082191780823,put,751.0,14.309999999999999,0.15758688854627464,0.1355066918945313,1.0173366817967073,-0.7700162529363461
2026-07-30,0.019178082191780823,put,752.0,15.07,0.15674442203345532,0.13428600097656251,1.0186913245154778,-0.7893855419632614
2026-07-30,0.019178082191780823,put,753.0,15.919999999999998,0.15839699081628225,0.13593393371582033,1.0200459672342486,-0.8040714046151692
2026-07-30,0.019178082191780823,put,754.0,16.665,0.15567162032737944,0.1331873791503906,1.021400609953019,-0.8246381295890441
2026-07-30,0.019178082191780823,put,755.0,17.6,0.1595608206093289,0.13459117370605472,1.0227552526717896,-0.8339491515607822
2026-07-30,0.019178082191780823,put,756.0,18.465,0.16035609362421582,0.13556772644042972,1.0241098953905603,-0.8472177867002568
